EAR,MAR,TIME
0.3332594166289635,0.2720759220056127,11:57:11.792069
0.3332594166289635,0.2720759220056127,11:57:11.792069
0.2665426987525926,0.23874258867227932,11:57:12.029602
0.3332594166289635,0.2720759220056127,11:57:11.792069
0.2665426987525926,0.23874258867227932,11:57:12.029602
0.2929660503051632,0.21573786516665266,11:57:12.170255
0.3332594166289635,0.2720759220056127,11:57:11.792069
0.2665426987525926,0.23874258867227932,11:57:12.029602
0.2929660503051632,0.21573786516665266,11:57:12.170255
0.29835024959464984,0.18240453183331934,11:57:12.334455
0.3332594166289635,0.2720759220056127,11:57:11.792069
0.2665426987525926,0.23874258867227932,11:57:12.029602
0.2929660503051632,0.21573786516665266,11:57:12.170255
0.29835024959464984,0.18240453183331934,11:57:12.334455
0.33318884551539196,0.1,11:57:12.480034
0.3332594166289635,0.2720759220056127,11:57:11.792069
0.2665426987525926,0.23874258867227932,11:57:12.029602
0.2929660503051632,0.21573786516665266,11:57:12.170255
0.29835024959464984,0.18240453183331934,11:57:12.334455
0.33318884551539196,0.1,11:57:12.480034
0.35363476426137275,0.03333333333333333,11:57:12.624221
0.3332594166289635,0.2720759220056127,11:57:11.792069
0.2665426987525926,0.23874258867227932,11:57:12.029602
0.2929660503051632,0.21573786516665266,11:57:12.170255
0.29835024959464984,0.18240453183331934,11:57:12.334455
0.33318884551539196,0.1,11:57:12.480034
0.35363476426137275,0.03333333333333333,11:57:12.624221
0.28186322108916695,0.27994485458893903,11:57:12.765793
0.3332594166289635,0.2720759220056127,11:57:11.792069
0.2665426987525926,0.23874258867227932,11:57:12.029602
0.2929660503051632,0.21573786516665266,11:57:12.170255
0.29835024959464984,0.18240453183331934,11:57:12.334455
0.33318884551539196,0.1,11:57:12.480034
0.35363476426137275,0.03333333333333333,11:57:12.624221
0.28186322108916695,0.27994485458893903,11:57:12.765793
0.2784792860457343,0.31622776601683794,11:57:12.916751
0.3332594166289635,0.2720759220056127,11:57:11.792069
0.2665426987525926,0.23874258867227932,11:57:12.029602
0.2929660503051632,0.21573786516665266,11:57:12.170255
0.29835024959464984,0.18240453183331934,11:57:12.334455
0.33318884551539196,0.1,11:57:12.480034
0.35363476426137275,0.03333333333333333,11:57:12.624221
0.28186322108916695,0.27994485458893903,11:57:12.765793
0.2784792860457343,0.31622776601683794,11:57:12.916751
0.19887087546717272,0.11380711874576983,11:57:13.061727
